distribution,n,repetition,method,lower,upper,empty,width,normalized_width
"Beta(1,5)",50,42,Chronological GE,0.14222191227599978,0.2530884160660207,False,0.11086650379002094,1.0803228134127578
"Beta(1,5)",50,42,Exact Bernoulli rounding,0.03881084624609307,0.2620794420257202,False,0.22326859577962713,2.17560894674008
"Beta(1,5)",50,42,Symmetric empirical-variance bound,0.0,1.0,False,1.0,9.74435719068826
"Beta(1,5)",50,42,Optimistic hard-boundary benchmark (not valid),0.11874823582315339,0.3063834920423295,False,0.18763525621917612,1.828384958165963
"Beta(1,5)",50,43,Chronological GE,0.09940400114282966,0.24737615743651986,False,0.1479721562936902,1.4418935452020674
"Beta(1,5)",50,43,Exact Bernoulli rounding,0.0925100916771503,0.3956499985080656,False,0.3031399068309153,2.953903530912399
"Beta(1,5)",50,43,Symmetric empirical-variance bound,0.0,0.9687316750979844,False,0.9687316750979844,9.439667464088528
"Beta(1,5)",50,43,Optimistic hard-boundary benchmark (not valid),0.09499333400722734,0.2732698526260321,False,0.17827651861880475,1.7371900761340198
"Beta(1,5)",50,44,Chronological GE,0.11847066646441817,0.24587359791621566,False,0.12740293145179749,1.2414596712070864
"Beta(1,5)",50,44,Exact Bernoulli rounding,0.07496089390057806,0.35692034082457486,False,0.28195944692399677,2.747513564116333
"Beta(1,5)",50,44,Symmetric empirical-variance bound,0.0,0.9652463334742001,False,0.9652463334742001,9.4057050503748
"Beta(1,5)",50,44,Optimistic hard-boundary benchmark (not valid),0.09256575210846679,0.2704127574321512,False,0.17784700532368442,1.7330047451682176
"Beta(1,5)",50,45,Chronological GE,0.11752015305683017,0.2565612425096333,False,0.13904108945280313,1.3548660398105519
"Beta(1,5)",50,45,Exact Bernoulli rounding,0.18755524514799002,0.5304081407934739,False,0.3428528956454838,3.3408810790313623
"Beta(1,5)",50,45,Symmetric empirical-variance bound,0.0,0.9839783706478809,False,0.9839783706478809,9.588236711504397
"Beta(1,5)",50,45,Optimistic hard-boundary benchmark (not valid),0.10134537964559939,0.2839917344559715,False,0.18264635481037209,1.7797713208494486
"Beta(1,5)",50,46,Chronological GE,0.10548649216070771,0.23869358794763684,False,0.13320709578692913,1.2980175216820629
