distribution,n,repetition,method,lower,upper,empty,width,normalized_width
"Beta(1,5)",50,46,Symmetric empirical-variance bound,0.0,0.9433764373888429,False,0.9433764373888429,9.192596971195846
"Beta(1,5)",50,46,Optimistic hard-boundary benchmark (not valid),0.09310399730366725,0.25917818104560564,False,0.16607418374193839,1.6182861665334407
"Beta(1,5)",50,47,Chronological GE,0.06282548187300563,0.2255338435061276,False,0.16270836163312197,1.5854883936648179
"Beta(1,5)",50,47,Exact Bernoulli rounding,0.022788602327794904,0.24373149761838123,False,0.22094289529058633,2.1529464904563085
"Beta(1,5)",50,47,Symmetric empirical-variance bound,0.0,0.9509493543232763,False,0.9509493543232763,9.266390178780377
"Beta(1,5)",50,47,Optimistic hard-boundary benchmark (not valid),0.08812152301184362,0.2610225634487936,False,0.17290104043694998,1.6848094966592753
"Beta(1,5)",50,48,Chronological GE,0.09758677566424012,0.2652279152534902,False,0.1676411395892501,1.6335551440116836
"Beta(1,5)",50,48,Exact Bernoulli rounding,0.06819151831867168,0.35596806737542314,False,0.28777654905675143,2.8041974851126086
"Beta(1,5)",50,48,Symmetric empirical-variance bound,0.0,0.9925185031739253,False,0.9925185031739253,9.67145481329399
"Beta(1,5)",50,48,Optimistic hard-boundary benchmark (not valid),0.0975909634938529,0.28696747533033273,False,0.18937651183647983,1.8453523748612628
"Beta(1,5)",50,49,Chronological GE,0.12466742983087897,0.2659721472300589,False,0.14130471739917994,1.3769236390668715
"Beta(1,5)",50,49,Exact Bernoulli rounding,0.06127530858091889,0.3278325321089377,False,0.2665572235280188,2.597428797815148
"Beta(1,5)",50,49,Symmetric empirical-variance bound,0.0,0.9925630593178469,False,0.9925630593178469,9.6718889842754
"Beta(1,5)",50,49,Optimistic hard-boundary benchmark (not valid),0.10990892063579291,0.2921166263851104,False,0.18220770574931747,1.7754969677171724
"Beta(1,5)",50,50,Chronological GE,0.1069313888438046,0.21073197247460485,False,0.10380058363080025,1.0114699635004265
"Beta(1,5)",50,50,Exact Bernoulli rounding,0.11733072324158458,0.4052009043828341,False,0.2878701811412495,2.805109869588467
"Beta(1,5)",50,50,Symmetric empirical-variance bound,0.0,0.9750553235132531,False,0.9750553235132531,9.501287352995236
"Beta(1,5)",50,50,Optimistic hard-boundary benchmark (not valid),0.09473780122260145,0.2765054402985895,False,0.18176763907598803,1.7712088008645324
"Beta(1,5)",50,51,Chronological GE,0.12693116953596473,0.2547384430654347,False,0.12780727352946997,1.2453997248391522
"Beta(1,5)",50,51,Exact Bernoulli rounding,0.0892684544963429,0.36428365813741087,False,0.27501520364106796,2.679846377148437
"Beta(1,5)",50,51,Symmetric empirical-variance bound,0.0,0.9939414774661401,False,0.9939414774661401,9.685320783070496
"Beta(1,5)",50,51,Optimistic hard-boundary benchmark (not valid),0.10674308733424662,0.29152903622675375,False,0.18478594889250713,1.8006202898288552
"Beta(1,5)",50,52,Chronological GE,0.09061492001637816,0.22227571113035083,False,0.13166079111397266,1.2829497766231446
"Beta(1,5)",50,52,Exact Bernoulli rounding,0.07522921620964135,0.3513164839786267,False,0.27608726776898534,2.6902929529421877
"Beta(1,5)",50,52,Symmetric empirical-variance bound,0.0,0.9238347130923711,False,0.9238347130923711,9.002175429529073
"Beta(1,5)",50,52,Optimistic hard-boundary benchmark (not valid),0.08168555763656588,0.2441616985333428,False,0.16247614089677692,1.5832255518627871
"Beta(1,5)",50,53,Chronological GE,0.11637802002951503,0.25409686425700784,False,0.1377188442274928,1.3419816100414461
"Beta(1,5)",50,53,Exact Bernoulli rounding,0.04086099390905624,0.279616200854691,False,0.2387552069456348,2.32651601761496
"Beta(1,5)",50,53,Symmetric empirical-variance bound,0.0,0.9763019637872523,False,0.9763019637872523,9.513435061113382
"Beta(1,5)",50,53,Optimistic hard-boundary benchmark (not valid),0.10269056949505803,0.2804930796052406,False,0.17780251011018258,1.7325711679145799
"Beta(1,5)",50,54,Chronological GE,0.13746627466753125,0.2330201924778521,False,0.09555391781032085,0.9311115061134351
"Beta(1,5)",50,54,Exact Bernoulli rounding,0.07527783353720277,0.33654678293018,False,0.2612689493929772,2.5458979657210246
