distribution,population_mean,population_variance,population_size,n,sampling_fraction,method,calibration,sqrt_n_mean_width,sqrt_n_standard_error,gaussian_sqrt_n_width,num_simulations
Bernoulli(0.1),0.1,0.09000000000000004,4000,3200,0.8,WSR running intersection,Uniformly randomized Markov,0.8713670302065714,0.004774548126302516,0.691253942684486,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,3600,0.9,WSR running intersection,Uniformly randomized Markov,0.6899744108039886,0.003851649837488093,0.4887903503941371,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,400,0.1,Exact hypergeometric,As published,1.503725,0.006287800014321426,1.4663710511824113,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,1200,0.3,Exact hypergeometric,As published,1.3125048007055062,0.0028483647120169367,1.2932177103910087,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2000,0.5,Exact hypergeometric,As published,1.1032200383989588,0.0015650419022438002,1.0929684502272319,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2800,0.7,Exact hypergeometric,As published,0.8498153211139468,0.0009528323290255125,0.8466097211320397,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,3200,0.8,Exact hypergeometric,As published,0.6929646455628167,0.0005758978133812341,0.691253942684486,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,3600,0.9,Exact hypergeometric,As published,0.48907500000000004,0.0005198056024338411,0.4887903503941371,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,400,0.1,Bardenet--Maillard EBS,As published,4.385531017826842,0.02205456247222709,1.4663710511824113,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,1200,0.3,Bardenet--Maillard EBS,As published,3.6424061023129717,0.004217483369682626,1.2932177103910087,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2000,0.5,Bardenet--Maillard EBS,As published,2.952901697600509,0.002275466052761648,1.0929684502272319,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2800,0.7,Bardenet--Maillard EBS,As published,2.382817362140421,0.0011537496090480803,0.8466097211320397,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,3200,0.8,Bardenet--Maillard EBS,As published,2.0854276054751106,0.0006894510433960333,0.691253942684486,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,3600,0.9,Bardenet--Maillard EBS,As published,1.4648001956561212,0.000834238649604381,0.4887903503941371,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,400,0.1,Shekhar--Ramdas AS-CI,As published,2.7304184243046428,0.012412456387622887,1.4663710511824113,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,1200,0.3,Shekhar--Ramdas AS-CI,As published,2.339768230355893,0.00581453267002345,1.2932177103910087,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2000,0.5,Shekhar--Ramdas AS-CI,As published,1.926110229441133,0.00315485390814659,1.0929684502272319,200
Bernoulli(0.1),0.1,0.09000000000000004,4000,2800,0.7,Shekhar--Ramdas AS-CI,As published,1.4351744849251407,0.0015914629159857429,0.8466097211320397,200
