distribution,population_mean,population_variance,replication,n,sampling_fraction,method,width,calibration,normalized_width
"Uniform(0,1)",0.5,0.08333332812500001,5,400,0.1,WSR running intersection,0.07701065568253385,Uniformly randomized Markov,1.0915630591079335
"Uniform(0,1)",0.5,0.08333332812500001,5,400,0.1,Bardenet--Maillard EBS,0.2536768426583625,As published,3.5956617683987133
"Uniform(0,1)",0.5,0.08333332812500001,5,400,0.1,Shekhar--Ramdas AS-CI,0.28889156153465056,As published,4.094801607185269
"Uniform(0,1)",0.5,0.08333332812500001,5,1200,0.3,Bridge-efficient betting,0.03650496015325194,Deterministic Markov,1.0162083275118508
"Uniform(0,1)",0.5,0.08333332812500001,5,1200,0.3,Bridge-efficient betting,0.03627225002273915,Uniformly randomized Markov,1.009730249696379
"Uniform(0,1)",0.5,0.08333332812500001,5,1200,0.3,WSR running intersection,0.04245150396600367,Deterministic Markov,1.1817454851217615
"Uniform(0,1)",0.5,0.08333332812500001,5,1200,0.3,WSR running intersection,0.04156770054250958,Uniformly randomized Markov,1.1571425710227532
"Uniform(0,1)",0.5,0.08333332812500001,5,1200,0.3,Bardenet--Maillard EBS,0.10271354852908904,As published,2.859292625587338
"Uniform(0,1)",0.5,0.08333332812500001,5,1200,0.3,Shekhar--Ramdas AS-CI,0.148205343385442,As published,4.125672333232861
"Uniform(0,1)",0.5,0.08333332812500001,5,2000,0.5,Bridge-efficient betting,0.023859028704464436,Deterministic Markov,1.014546654453272
"Uniform(0,1)",0.5,0.08333332812500001,5,2000,0.5,Bridge-efficient betting,0.023641358595341444,Uniformly randomized Markov,1.0052907671445028
"Uniform(0,1)",0.5,0.08333332812500001,5,2000,0.5,WSR running intersection,0.02963478583842516,Deterministic Markov,1.2601465550099114
